Date,Sessions,New Users,Pages,Transactions,Revenue,Group
20170618,10993,6419,75741.77,920,35664.49,Control
20170721,9480,6235,57828,884,25369.36,Control
20170811,9315,6038,52070.85,827,23719.55,Control
20170818,9145,6073,52492.3,875,25137.03,Control
20170804,9006,5849,53225.46,793,21690.84,Control
20170618,8992,5664,52783.04,719,24897.1,Control
20170722,8872,5691,53675.6,823,24092.44,Control
20170818,8739,5335,54356.58,702,20401.05,Control
20170819,8603,5218,52478.3,637,19907.86,Control
20170617,8590,5023,55319.6,631,20076.7,Control
20170714,8587,5633,50491.56,808,22167.66,Control
20170616,8580,5496,49935.6,776,21372.43,Control
20170609,8568,5188,55434.96,751,22695.41,Control
20170609,8512,5417,52433.92,864,23929.16,Control
20170819,8507,5579,46448.22,747,21824.77,Control
20170812,8438,5533,48518.5,737,21460.35,Control
20170728,8420,5405,49762.2,763,21594.49,Control
20170805,8401,5438,47885.7,714,20450.08,Control
20170616,8345,4838,54075.6,676,20285.01,Control
20170602,8322,5068,53260.8,688,20710.57,Control
20170811,8321,5136,48927.48,624,18820.48,Control
20170617,8278,5185,49668,778,22626.43,Control
20170604,8260,4922,52864,676,20928.89,Control
20170804,8195,5046,54250.9,568,16535.67,Control
20170602,8150,5236,50611.5,826,23739.47,Control
20170630,8139,5124,50136.24,810,23133.26,Control
20170723,8129,4840,50643.67,612,19791.29,Control
20170806,8122,4740,50518.84,578,19171.74,Control
20170729,8120,4805,51886.8,628,20561.1,Control
20170707,8099,5252,47379.15,770,20362.67,Control
20170825,8085,5329,48752.55,814,22475.88,Control
20170618,8078,4625,55091.96,718,23231.28,Control
20170812,8062,4896,50387.5,630,19855.47,Control
20170728,8040,4812,50571.6,660,20293.98,Control
20170820,8030,4812,49545.1,615,19905.37,Control
20170603,8012,4916,53039.44,658,21045.02,Control
20170722,8006,4873,52679.48,632,20494.23,Control
20170603,8005,5145,48430.25,711,21575.99,Control
20170623,7997,4953,48221.91,745,20766.54,Control
20170813,7990,4754,50257.1,609,19609.29,Control
20170610,7963,4781,51600.24,700,21556.67,Control
20170715,7962,5220,46657.32,635,19056.24,Control
20170810,7939,4992,43346.94,513,13623.77,Control
